prompt_id,entropy,latency,tokens_used,correct,llm_answer,ground_truth
prompt0,0.8372837285636132,1.398810625076294,8,no,13,18
prompt1,0.42688803911599954,0.9711008071899414,7,yes,3,3
prompt2,0.2584065113506272,1.5765247344970703,12,no,30000,70000
prompt3,0.2191761951242245,1.1903719902038574,9,no,180,540
prompt4,0.5070630234040504,1.3927853107452393,9,no,360,20
prompt5,0.7052034552036712,1.0921730995178223,8,no,11,64
prompt6,0.6773957417296602,1.198904275894165,9,no,140,260
prompt7,0.6481776165921965,1.237466812133789,9,no,680,160
prompt8,0.7400963902870537,1.658935308456421,11,no,360,45
prompt9,0.6234241177079255,1.2207460403442383,9,no,490,460
prompt10,0.6312541606055789,1.2299301624298096,9,no,270,366
prompt11,,3.7995188236236572,30,buggy,None,694
prompt12,,3.779496431350708,30,buggy,None,13
prompt13,0.7610756220242786,1.1126749515533447,8,no,15,18
prompt14,0.6172572025280296,1.1013562679290771,8,no,70,60
prompt15,,4.152109861373901,30,buggy,None,125
prompt16,0.2986722408447727,1.3337700366973877,10,yes,230,230
prompt17,,3.6796021461486816,30,buggy,None,57500
prompt18,,3.579045057296753,30,buggy,None,7
prompt19,0.5226230862855865,0.9917643070220947,7,no,5,6
prompt20,0.690639329354452,1.491140365600586,11,no,1192.0,15
prompt21,,3.709531307220459,30,buggy,None,14
prompt22,0.795375233333287,0.9899411201477051,7,no,5,7
prompt23,0.6023455883578548,1.1027476787567139,8,no,22,8
prompt24,,3.6275811195373535,30,buggy,None,26
prompt25,0.8244598314985914,1.122124195098877,8,no,3,2
prompt26,,3.841214656829834,30,buggy,None,243
prompt27,,3.7526309490203857,30,buggy,None,16
prompt28,0.4915780787609529,1.0935490131378174,8,no,35,25
prompt29,0.7698964608452465,1.2388510704040527,9,no,113,104
prompt30,0.7456665387065884,1.0893313884735107,8,no,24,109
prompt31,0.700607658958518,1.1208829879760742,8,no,49,80
prompt32,0.5297969383640029,1.2092783451080322,9,yes,35,35
prompt33,,3.6156411170959473,30,buggy,None,70
prompt34,0.7192058654547141,0.9794387817382812,7,no,8,23
prompt35,0.6711849157751131,1.1092133522033691,8,no,28,9
prompt36,,3.6750829219818115,30,buggy,None,75
prompt37,0.36543756325345206,0.9982774257659912,7,no,0,2
prompt38,0.5786458717182038,1.5806477069854736,12,no,75.0,10
prompt39,0.5417126852766235,1.4978735446929932,11,no,2133.0,18
prompt40,0.5422323420098553,0.9713921546936035,7,yes,8,8
prompt41,,4.267415761947632,30,buggy,None,200
prompt42,0.7986297725140359,1.2054712772369385,8,no,69,26
prompt43,,3.787123918533325,30,buggy,None,48
prompt44,0.554455583359345,1.0395822525024414,7,no,8,20
prompt45,,1.5343208312988281,10,buggy,None,104
prompt46,0.927616388679563,1.396040916442871,9,no,41,163
prompt47,0.5525920665231759,1.3399641513824463,10,no,280,800
prompt48,0.4710734455019628,0.9635295867919922,7,yes,8,8
prompt49,,3.6997594833374023,30,buggy,None,30
prompt50,0.8288944464640867,1.3272271156311035,10,no,300,294
prompt51,0.5974515694280195,1.4639005661010742,11,no,375.0,5
prompt52,0.5008411453408518,1.490872859954834,11,no,575.0,15
prompt53,0.6236112555454199,1.260460615158081,8,no,72,40
prompt54,,4.162165403366089,30,buggy,None,40
prompt55,,3.6797025203704834,30,buggy,None,14
prompt56,0.2526425114317642,0.9787356853485107,7,no,6,3
prompt57,0.8112565190534387,1.2496325969696045,9,no,326,83
prompt58,0.3947011727266929,1.7684440612792969,12,no,4740.0,57
prompt59,0.830220306116728,1.3251311779022217,10,no,178,187
prompt60,0.6761492372753015,1.3304111957550049,10,no,10,17
prompt61,0.5304038973414065,1.3644747734069824,10,no,1480,1430
prompt62,0.44022101861276053,1.4932639598846436,11,no,50000,25000
prompt63,0.8493214293080612,1.3738317489624023,10,no,1990,1596
prompt64,,4.19748854637146,30,buggy,None,300
prompt65,0.7931633539106566,1.4571561813354492,11,no,32,36
prompt66,0.7300787080143365,1.239999771118164,9,no,35,48
prompt67,0.7323059940568766,1.2326383590698242,9,no,145,595
prompt68,0.6600500761947905,1.088369369506836,8,no,20,36
prompt69,0.6028226997587545,1.0959229469299316,8,no,52,60
prompt70,,2.9484121799468994,23,buggy,None,7425
prompt71,,0.7300722599029541,5,buggy,None,60
prompt72,0.7952958512435367,1.2196025848388672,9,no,100,221
prompt73,0.6779780409468759,1.0911533832550049,8,no,45,255
prompt74,,4.27878999710083,30,buggy,None,88
prompt75,0.4701242376600313,2.3691093921661377,18,no,20,60
prompt76,0.7040485380187491,1.2590737342834473,8,no,18,5
prompt77,0.44059767811788314,2.6683175563812256,21,no,200,100
prompt78,,3.6503801345825195,30,buggy,None,6
prompt79,,3.6788699626922607,30,buggy,None,70
prompt80,,1.4452321529388428,11,buggy,None,10
prompt81,0.7002153330907824,0.9990179538726807,7,no,3,17
prompt82,,3.615133285522461,30,buggy,None,623
prompt83,,3.6218209266662598,30,buggy,None,600
prompt84,0.21903758008843172,1.0816898345947266,8,no,14,15
prompt85,,0.8398573398590088,5,buggy,None,44
prompt86,0.7204216172154212,1.2216989994049072,8,no,21,22
prompt87,0.6842266380436804,1.5335614681243896,11,no,8064.0,9360
prompt88,0.694236126795715,1.4559855461120605,11,no,10280,8000
prompt89,0.6658120112935225,1.103712797164917,8,no,32,24
prompt90,0.714956662343733,1.533923864364624,10,no,160,225
prompt91,0.691891011799854,1.0948700904846191,8,no,15,28
prompt92,0.6875602259422467,0.9779274463653564,7,no,8,4
prompt93,,0.9881155490875244,6,buggy,None,36
prompt94,,3.690009832382202,30,buggy,None,348
prompt95,0.3900183869066714,2.1801459789276123,17,no,8080,40
prompt96,0.6554822909464894,0.9657120704650879,7,no,8,3
prompt97,0.8293488116314671,1.241980791091919,9,no,6,12
prompt98,0.5740182186240018,1.392270803451538,9,no,30,5
prompt99,,4.119377613067627,30,buggy,None,58
prompt100,,4.1773083209991455,30,buggy,None,175
prompt101,,4.066093444824219,30,buggy,None,6
prompt102,0.5880490696347666,1.11598539352417,8,no,35,26
prompt103,,3.7794268131256104,30,buggy,None,140
prompt104,,3.7197225093841553,30,buggy,None,500
prompt105,0.6873516281886118,1.0954654216766357,8,no,12,20
prompt106,,3.6556575298309326,30,buggy,None,72
prompt107,0.5637319012933861,1.1276931762695312,7,no,4,3
prompt108,0.7089606717644699,1.144578218460083,8,no,35,50
prompt109,0.5651820448779115,1.3700370788574219,10,no,29,28
prompt110,0.5921845035341995,1.3875324726104736,9,no,26,45
prompt111,0.7462964953881028,1.121997356414795,8,no,38,16
prompt112,,3.7282302379608154,30,buggy,None,24
prompt113,,3.6009833812713623,30,buggy,None,25
prompt114,,1.2558417320251465,8,buggy,None,6
prompt115,0.705153479081396,1.2649803161621094,8,no,40,90
prompt116,,0.5001430511474609,3,buggy,None,42
prompt117,0.28323453812001725,1.683459997177124,13,no,36000.0,360
prompt118,,3.909546136856079,30,buggy,None,4
prompt119,0.3581568285381654,1.6108956336975098,11,no,96000,95200
prompt120,,0.8589591979980469,6,buggy,None,240
prompt121,0.8506796502108163,1.1053242683410645,8,yes,27,27
prompt122,,3.71440052986145,30,buggy,None,48
prompt123,0.5814434382459903,1.0991108417510986,8,no,95,50
prompt124,0.47433467239201077,1.0093753337860107,7,no,40,10
prompt125,0.6479438222518384,1.1198205947875977,7,no,8,10
prompt126,0.5702164619211967,1.1175611019134521,8,no,46,82
prompt127,0.1633652853852895,1.0843050479888916,8,no,70,120
prompt128,0.7818724641636107,1.5251386165618896,10,no,100,880
prompt129,0.5256195442505216,2.0992703437805176,16,no,5775000.0,10000
prompt130,0.6846528770595837,1.1265370845794678,8,no,26,30
prompt131,0.1842414377171523,1.2053658962249756,9,no,560,940
prompt132,0.7320206573257388,1.2429101467132568,9,no,26,60
prompt133,0.6505306594987088,1.3563275337219238,10,no,40,13
prompt134,,3.5951414108276367,30,buggy,None,720
prompt135,0.6258288376404443,1.2168328762054443,9,no,23,40
prompt136,0.820015304105068,1.0919997692108154,8,no,9,6
prompt137,0.6385077864092829,1.3653013706207275,10,no,295.0,29
prompt138,0.8966200340660602,1.2396094799041748,9,no,10,105
prompt139,0.8001432292241347,1.0944197177886963,8,no,46,70
prompt140,0.4345183639116591,1.0885989665985107,8,no,45,20
prompt141,0.3662158223981624,1.215742588043213,9,no,300,400
prompt142,0.3918117439389548,1.3347852230072021,10,no,100,140
prompt143,0.6606633866966531,1.2356877326965332,9,no,17,16
prompt144,0.8281418260048509,1.435034990310669,9,no,50,20
prompt145,0.39241895084270934,1.3357198238372803,10,no,3600,4000
prompt146,0.5874773803006217,1.4380207061767578,10,no,1375,2125
prompt147,0.7515141886885178,1.2801027297973633,8,no,80,75
prompt148,,3.8666863441467285,30,buggy,None,30
prompt149,0.6614814754744438,2.0492849349975586,16,no,20,16
prompt150,0.8238109822474037,1.817692518234253,12,no,1194.0,4
prompt151,0.7884455176161829,1.2489984035491943,8,no,12,5
prompt152,0.6831500770894637,1.208336353302002,9,no,30.0,4
prompt153,,4.224615812301636,30,buggy,None,48
prompt154,0.7761802922561513,1.2563140392303467,9,no,100,272
prompt155,0.7336771530618158,1.123260259628296,8,no,20,280
prompt156,0.34566159611668107,1.2941668033599854,9,no,1800,1400
prompt157,0.6165344618230846,1.3956825733184814,9,no,340,80
prompt158,0.5681996208712029,1.3632960319519043,10,no,555.0,34
prompt159,0.6285912566785247,0.9946310520172119,7,no,3,15
prompt160,,1.2263329029083252,9,buggy,None,16
prompt161,0.7353331890414867,1.1277892589569092,8,no,24,32
prompt162,0.726414218830774,1.6901156902313232,13,no,22000.0,92
